x	intensity
0	-13728321
1	-13488938
2	-13209073
3	-12957722
4	-12762029
5	-12542432
6	-12350106
7	-12210946
8	-12107715
9	-12098807
10	-12095928
11	-12121228
12	-12141707
13	-12115409
14	-12040660
15	-11936624
16	-11794289
17	-11630804
18	-11446901
19	-11244090
20	-11016958
21	-10804986
22	-10580167
23	-10378614
24	-10173122
25	-9971072
26	-9797627
27	-9710493
28	-9691443
29	-9734376
30	-9840106
31	-10019772
32	-10273877
33	-10573752
34	-10887637
35	-11206687
36	-11487460
37	-11746382
38	-11948864
39	-12105028
40	-12180025
41	-12219179
42	-12215863
43	-12196715
44	-12165627
45	-12119351
46	-12059532
47	-12013635
48	-11964748
49	-11929035
50	-11897537
51	-11896632
52	-11898406
53	-11934572
54	-11982148
55	-12076273
56	-12197828
57	-12360691
58	-12525200
59	-12696818
60	-12877843
61	-13065370
62	-13218766
63	-13374357
64	-13480674
65	-13576513
66	-13642887
67	-13691972
68	-13723018
69	-13749730
70	-13768166
71	-13782046
72	-13789481
73	-13800229
74	-13812698
75	-13817697
76	-13808020
77	-13797856
78	-13785762
79	-13768988
80	-13756129
81	-13750044
82	-13712021
83	-13687186
84	-13659220
85	-13632459
86	-13588320
87	-13534179
88	-13486303
89	-13437020
90	-13372512
91	-13319838
92	-13258385
93	-13173653
94	-13102522
95	-13003328
96	-12893645
97	-12792458
98	-12685530
99	-12573655
100	-12461834
101	-12329023
102	-12201657
103	-12075705
104	-11920752
105	-11790067
106	-11650113
107	-11537238
108	-11434760
109	-11354615
110	-11287919
111	-11268524
112	-11269920
113	-11311897
114	-11368953
115	-11455230
116	-11549662
117	-11655697
118	-11739022
119	-11816256
120	-11869193
121	-11873735
122	-11852942
123	-11799922
124	-11715329
125	-11589114
126	-11449553
127	-11298485
128	-11103728
129	-10881883
130	-10660525
131	-10427001
132	-10175170
133	-9910860
134	-9661756
135	-9419052
136	-9214507
137	-9067345
138	-9007591
139	-9046096
140	-9175827
141	-9374060
142	-9642697
143	-9950700
144	-10304299
145	-10656981
146	-10981106
147	-11264440
148	-11501076
149	-11691232
150	-11812764
151	-11882117
152	-11913385
153	-11914646
154	-11901102
155	-11853944
156	-11776908
157	-11700867
158	-11625228
159	-11555344
160	-11498819
161	-11452644
162	-11411687
163	-11400348
164	-11430226
165	-11493235
166	-11571978
167	-11698536
168	-11858944
169	-12043774
170	-12245319
171	-12452034
172	-12650582
173	-12847633
174	-13023114
175	-13177984
176	-13307197
177	-13416635
178	-13500866
179	-13550460
180	-13577035
181	-13598537
182	-13618642
183	-13634897
184	-13652579
185	-13671724
186	-13673706
187	-13678486
188	-13675288
189	-13672792
190	-13664076
191	-13661498
192	-13659013
193	-13650187
194	-13635285
195	-13626325
196	-13613457
197	-13589906
198	-13543379
199	-13506518
200	-13460404
201	-13413899
202	-13355396
203	-13303958
204	-13237390
205	-13161861
206	-13084411
207	-12993776
208	-12905729
209	-12844659
210	-12747068
211	-12640949
212	-12531199
213	-12411619
214	-12293503
215	-12171564
216	-12043577
217	-11904828
218	-11744324
219	-11600398
220	-11473420
221	-11347783
222	-11230796
223	-11136701
224	-11068250
225	-11032671
226	-11033061
227	-11050018
228	-11123434
229	-11214121
230	-11327702
231	-11449700
232	-11556674
233	-11674122
234	-11761438
235	-11840854
236	-11868880
237	-11876362
238	-11837259
239	-11769214
240	-11659488
241	-11528809
242	-11365289
243	-11179774
244	-10971401
245	-10746481
246	-10511027
247	-10258044
248	-9988450
249	-9728453
250	-9460935
251	-9256110
252	-9082648
253	-8983594
254	-8973006
255	-9022183
256	-9165555
257	-9400999
258	-9699590
259	-10043979
260	-10402284
261	-10755210
262	-11068493
263	-11364311
264	-11570324
265	-11730690
266	-11841235
267	-11919072
268	-11964247
269	-11969602
270	-11945008
271	-11899114
272	-11854194
273	-11782817
274	-11707444
275	-11632331
276	-11542933
277	-11463927
278	-11388185
279	-11345305
280	-11329452
281	-11366070
282	-11427443
283	-11518996
284	-11625955
285	-11792633
286	-11962940
287	-12159494
288	-12362881
289	-12569921
290	-12761751
291	-12942166
292	-13095192
293	-13225029
294	-13333967
295	-13418446
296	-13481094
297	-13540871
298	-13592595
299	-13633123
300	-13651632
301	-13664371
302	-13682667
303	-13698389
304	-13712031
305	-13714978
306	-13737221
307	-13745911
308	-13749374
309	-13744705
310	-13731725
311	-13705111
312	-13695387
313	-13680208
314	-13661201
315	-13640539
316	-13619429
317	-13576612
318	-13548955
319	-13520664
320	-13479711
321	-13433251
322	-13380509
323	-13334485
324	-13279508
325	-13226121
326	-13154043
327	-13086705
328	-13004573
329	-12914614
330	-12807952
331	-12699199
332	-12583825
333	-12472581
334	-12354904
335	-12221266
336	-12078098
337	-11945738
338	-11823879
339	-11691001
340	-11559799
341	-11428593
342	-11295745
343	-11202676
344	-11130048
345	-11092012
346	-11084514
347	-11128547
348	-11198231
349	-11296878
350	-11399425
351	-11520375
352	-11635331
353	-11756793
354	-11860616
355	-11943566
356	-12000159
357	-12034723
358	-12031525
359	-12002920
360	-11947083
361	-11865150
362	-11751034
363	-11597993
364	-11447660
365	-11253543
366	-11037112
367	-10795758
368	-10535614
369	-10274271
370	-9999126
371	-9731328
372	-9470171
373	-9254150
374	-9092479
375	-8986441
376	-8973137
377	-9074233
378	-9254025
379	-9484491
380	-9783273
381	-10122419
382	-10459280
383	-10796944
384	-11128897
385	-11405659
386	-11629649
387	-11806142
388	-11923915
389	-12009237
390	-12070154
391	-12091241
392	-12070145
393	-12042476
394	-11975093
395	-11909491
396	-11815116
397	-11723727
398	-11630791
399	-11544765
400	-11435311
401	-11370778
402	-11324235
403	-11294599
404	-11289109
405	-11315730
406	-11367752
407	-11471576
408	-11599338
409	-11766761
410	-11962682
411	-12171831
412	-12386953
413	-12604610
414	-12798853
415	-12978625
416	-13135747
417	-13273708
418	-13371050
419	-13451184
420	-13527995
421	-13573508
422	-13617418
423	-13645704
424	-13695505
425	-13726825
426	-13743274
427	-13766889
428	-13789228
429	-13806889
430	-13812256
431	-13818774
432	-13820365
433	-13822291
434	-13819419
435	-13810898
436	-13798157
437	-13787276
438	-13775608
439	-13760491
440	-13739695
441	-13714019
442	-13692598
443	-13660935
444	-13629850
445	-13593375
446	-13553245
447	-13517767
448	-13481925
449	-13449662
450	-13414997
451	-13372424
452	-13318170
453	-13257487
454	-13176408
455	-13096592
456	-12997577
457	-12901392
458	-12800162
459	-12694430
460	-12591640
461	-12485446
462	-12352006
463	-12229407
464	-12095728
465	-11975669
466	-11836925
467	-11690462
468	-11566045
469	-11451534
470	-11345150
471	-11260046
472	-11203621
473	-11176042
474	-11197249
475	-11245873
476	-11315242
477	-11409523
478	-11531630
479	-11650492
480	-11787159
481	-11914183
482	-12025218
483	-12108060
484	-12179090
485	-12208983
486	-12234963
487	-12224122
488	-12197425
489	-12147861
490	-12065305
491	-11951509
492	-11807714
493	-11653873
494	-11462843
495	-11263496
496	-11030017
497	-10783694
498	-10515203
499	-10252689
500	-9977650
501	-9716243
502	-9490163
503	-9315050
504	-9221802
505	-9211056
506	-9306719
507	-9449670
508	-9656099
509	-9931332
510	-10227600
511	-10548275
512	-10879150
513	-11193430
514	-11487154
515	-11710574
516	-11904888
517	-12086095
518	-12193806
519	-12274902
520	-12334801
521	-12355367
522	-12353776
523	-12329451
524	-12275561
525	-12196822
526	-12123200
527	-12041620
528	-11956551
529	-11861572
530	-11775301
531	-11687307
532	-11604290
533	-11546663
534	-11495585
535	-11470053
536	-11485627
537	-11536632
538	-11632278
539	-11762682
540	-11919807
541	-12078045
542	-12260607
543	-12453369
544	-12656270
545	-12847911
546	-13029244
547	-13184337
548	-13300452
549	-13413146
550	-13502482
551	-13579643
552	-13646188
553	-13711535
554	-13760385
555	-13810035
556	-13837900
557	-13873166
558	-13881885
559	-13909262
560	-13916952
561	-13915606
562	-13916384
563	-13923157
564	-13940251
565	-13938397
566	-13945885
567	-13946906
568	-13947353
569	-13946660
570	-13948901
571	-13943281
572	-13928942
573	-13906782
574	-13894689
575	-13869854
576	-13857643
577	-13835671
578	-13817489
579	-13790478
580	-13748429
581	-13723207
582	-13684669
583	-13649858
584	-13609519
585	-13572162
586	-13511102
587	-13462214
588	-13397828
