x	intensity
0	-16609630.000
1	-16627799.000
2	-16632145.000
3	-16639204.000
4	-16638537.000
5	-16636464.000
6	-16640015.000
7	-16644387.000
8	-16648902.000
9	-16646757.000
10	-16640229.000
11	-16636196.000
12	-16637012.000
13	-16641808.000
14	-16646774.000
15	-16647536.000
16	-16646204.000
17	-16643602.000
18	-16636841.000
19	-16637380.000
20	-16628923.000
21	-16619247.000
22	-16617193.000
23	-16626108.000
24	-16632579.000
25	-16634360.000
26	-16641028.000
27	-16641149.000
28	-16641087.000
29	-16641799.000
30	-16638669.000
31	-16638483.000
32	-16634065.000
33	-16635607.000
34	-16638938.000
35	-16638670.000
36	-16640076.000
37	-16640579.000
38	-16640647.000
39	-16640394.000
40	-16642184.000
41	-16644433.000
42	-16642506.000
43	-16644751.000
44	-16645196.000
45	-16642690.000
46	-16643518.000
47	-16640562.000
48	-16645374.000
49	-16646465.000
50	-16646337.000
51	-16646594.000
52	-16645373.000
53	-16643260.000
54	-16643582.000
55	-16644096.000
56	-16643084.000
57	-16640329.000
58	-16640851.000
59	-16639192.000
60	-16637725.000
61	-16636580.000
62	-16634346.000
63	-16634731.000
64	-16631728.000
65	-16630711.000
66	-16628792.000
67	-16628029.000
68	-16626116.000
69	-16626383.000
70	-16625230.000
71	-16622988.000
72	-16619843.000
73	-16616968.000
74	-16616729.000
75	-16615524.000
76	-16615152.000
77	-16612845.000
78	-16610862.000
79	-16607722.000
80	-16608681.000
81	-16607991.000
82	-16605249.000
83	-16604874.000
84	-16602895.000
85	-16602325.000
86	-16599265.000
87	-16597539.000
88	-16598690.000
89	-16599710.000
90	-16597144.000
91	-16598289.000
92	-16597898.000
93	-16598925.000
94	-16601417.000
95	-16597196.000
96	-16590426.000
97	-16578069.000
98	-16565518.000
99	-16552097.000
100	-16544173.000
101	-16536303.000
102	-16513015.000
103	-16472367.000
104	-16431511.000
105	-16394432.000
106	-16342378.000
107	-16287800.000
108	-16232199.000
109	-16191234.000
110	-16145817.000
111	-16099723.000
112	-16048261.000
113	-15989447.000
114	-15927339.000
115	-15859386.000
116	-15772113.000
117	-15668748.000
118	-15553488.000
119	-15412547.000
120	-15263421.000
121	-15090455.000
122	-14908846.000
123	-14727091.000
124	-14547799.000
125	-14388603.000
126	-14227419.000
127	-14098012.000
128	-13977506.000
129	-13860274.000
130	-13750136.000
131	-13682844.000
132	-13626728.000
133	-13600664.000
134	-13590066.000
135	-13591749.000
136	-13593821.000
137	-13614674.000
138	-13643337.000
139	-13674119.000
140	-13704402.000
141	-13726350.000
142	-13759155.000
143	-13786351.000
144	-13824535.000
145	-13859228.000
146	-13909887.000
147	-13983315.000
148	-14069889.000
149	-14179015.000
150	-14295867.000
151	-14419719.000
152	-14551683.000
153	-14659181.000
154	-14762085.000
155	-14859559.000
156	-14967460.000
157	-15082845.000
158	-15182159.000
159	-15291030.000
160	-15410657.000
161	-15511400.000
162	-15601422.000
163	-15683476.000
164	-15771281.000
165	-15839551.000
166	-15913256.000
167	-15992631.000
168	-16054202.000
169	-16096768.000
170	-16144013.000
171	-16181209.000
172	-16230281.000
173	-16280559.000
174	-16318082.000
175	-16350750.000
176	-16391679.000
177	-16434796.000
178	-16460439.000
179	-16470795.000
180	-16479606.000
181	-16488169.000
182	-16493668.000
183	-16494168.000
184	-16502030.000
185	-16508684.000
186	-16520210.000
187	-16523019.000
188	-16525967.000
189	-16532235.000
190	-16535556.000
191	-16539530.000
192	-16550530.000
193	-16561533.000
194	-16565492.000
195	-16568170.000
196	-16573099.000
197	-16575587.000
198	-16576608.000
199	-16578343.000
200	-16582508.000
201	-16585904.000
202	-16584872.000
203	-16586025.000
204	-16586588.000
205	-16584144.000
206	-16588243.000
207	-16590926.000
208	-16598602.000
209	-16604420.000
210	-16606449.000
211	-16610284.000
212	-16595992.000
213	-16597401.000
214	-16614859.000
215	-16617804.000
216	-16620426.000
217	-16622092.000
218	-16621442.000
219	-16622971.000
220	-16625142.000
221	-16627509.000
222	-16631351.000
223	-16631852.000
224	-16631338.000
225	-16633892.000
226	-16634266.000
227	-16636442.000
228	-16636564.000
229	-16638358.000
230	-16639964.000
231	-16639321.000
232	-16639962.000
233	-16639892.000
234	-16640333.000
235	-16640398.000
236	-16641426.000
237	-16639627.000
238	-16636864.000
239	-16637763.000
240	-16640518.000
241	-16641610.000
242	-16641161.000
243	-16641932.000
244	-16642574.000
245	-16642831.000
246	-16643602.000
247	-16641610.000
248	-16640518.000
249	-16641610.000
250	-16641867.000
251	-16642446.000
252	-16641546.000
253	-16642887.000
254	-16643016.000
255	-16643658.000
256	-16645192.000
257	-16644802.000
258	-16644610.000
259	-16643774.000
260	-16644416.000
261	-16645628.000
262	-16644600.000
263	-16645627.000
264	-16645626.000
265	-16647620.000
266	-16646593.000
267	-16646465.000
268	-16646339.000
269	-16645568.000
270	-16645891.000
271	-16645763.000
272	-16645827.000
273	-16645695.000
274	-16645889.000
275	-16645694.000
276	-16645375.000
277	-16646208.000
278	-16645374.000
279	-16645694.000
280	-16645888.000
281	-16644152.000
282	-16644860.000
283	-16643831.000
284	-16644860.000
285	-16645116.000
286	-16645951.000
287	-16647686.000
288	-16645574.000
289	-16644868.000
290	-16644674.000
291	-16643711.000
292	-16644737.000
293	-16644929.000
294	-16644865.000
295	-16644542.000
296	-16644735.000
297	-16646086.000
298	-16645829.000
299	-16646858.000
300	-16645126.000
301	-16645511.000
302	-16645770.000
303	-16645321.000
304	-16642934.000
305	-16644281.000
306	-16647172.000
307	-16647622.000
308	-16645630.000
309	-16645052.000
310	-16645630.000
311	-16646144.000
312	-16645437.000
313	-16647429.000
314	-16646273.000
315	-16646016.000
316	-16644473.000
317	-16643767.000
318	-16645180.000
319	-16645502.000
320	-16645823.000
321	-16645309.000
322	-16644795.000
323	-16646337.000
324	-16646915.000
325	-16646980.000
326	-16646659.000
327	-16646081.000
328	-16645760.000
329	-16646019.000
330	-16646598.000
331	-16646469.000
332	-16645891.000
333	-16645441.000
334	-16642806.000
335	-16643511.000
336	-16645309.000
337	-16646594.000
338	-16647365.000
339	-16646915.000
340	-16646465.000
341	-16645245.000
342	-16645630.000
343	-16644666.000
344	-16645694.000
345	-16646915.000
346	-16647043.000
347	-16646787.000
348	-16645180.000
349	-16645630.000
350	-16645630.000
351	-16646144.000
352	-16646658.000
353	-16645116.000
354	-16645245.000
355	-16644856.000
356	-16644987.000
357	-16646787.000
358	-16646401.000
359	-16647558.000
360	-16647879.000
361	-16648072.000
362	-16647493.000
363	-16646080.000
364	-16645694.000
365	-16645116.000
366	-16644217.000
367	-16644024.000
368	-16645184.000
369	-16645181.000
370	-16645887.000
371	-16646016.000
372	-16646208.000
373	-16645823.000
374	-16645180.000
375	-16645823.000
376	-16644666.000
377	-16644474.000
378	-16644988.000
379	-16645630.000
380	-16647044.000
381	-16646144.000
382	-16646658.000
383	-16646337.000
384	-16646851.000
385	-16646658.000
386	-16645630.000
387	-16645052.000
388	-16644988.000
389	-16645116.000
390	-16644732.000
391	-16644089.000
392	-16644733.000
393	-16645695.000
394	-16645952.000
395	-16646338.000
396	-16645888.000
397	-16645952.000
398	-16646723.000
399	-16645568.000
400	-16644158.000
401	-16642551.000
402	-16646144.000
403	-16646201.000
404	-16646902.000
405	-16647990.000
406	-16645804.000
407	-16637577.000
408	-16637257.000
409	-16647474.000
410	-16647029.000
411	-16645553.000
412	-16645626.000
413	-16645181.000
414	-16642168.000
415	-16642360.000
416	-16644348.000
417	-16646208.000
418	-16646465.000
419	-16646851.000
420	-16645052.000
421	-16645951.000
422	-16646851.000
423	-16647750.000
424	-16646337.000
425	-16644988.000
426	-16645052.000
427	-16646787.000
428	-16646273.000
429	-16646208.000
430	-16645052.000
431	-16645052.000
432	-16646144.000
433	-16645951.000
434	-16646658.000
435	-16644602.000
436	-16644602.000
437	-16644602.000
438	-16646144.000
439	-16646786.000
440	-16649420.000
441	-16647622.000
442	-16646530.000
443	-16646016.000
444	-16643574.000
445	-16644217.000
446	-16643253.000
447	-16645502.000
448	-16645502.000
449	-16646401.000
450	-16646787.000
451	-16646273.000
452	-16645823.000
453	-16646594.000
454	-16645310.000
455	-16646531.000
456	-16645759.000
457	-16645245.000
458	-16644923.000
459	-16645823.000
460	-16647558.000
461	-16645823.000
462	-16646658.000
463	-16645440.000
464	-16646405.000
465	-16646273.000
466	-16646273.000
467	-16646080.000
468	-16641518.000
469	-16643381.000
470	-16645373.000
471	-16645951.000
472	-16644152.000
473	-16644345.000
474	-16645437.000
