x	intensity
0	-16637374
1	-16648314
2	-16628627
3	-16637200
4	-16636701
5	-16636235
6	-16619543
7	-16603121
8	-16600490
9	-16588649
10	-16584332
11	-16576657
12	-16574280
13	-16565496
14	-16549166
15	-16517311
16	-16500175
17	-16478033
18	-16446486
19	-16415080
20	-16404518
21	-16392697
22	-16361718
23	-16331104
24	-16281148
25	-16229348
26	-16185074
27	-16138478
28	-16075463
29	-16008554
30	-15949783
31	-15894919
32	-15842114
33	-15795062
34	-15757695
35	-15729918
36	-15706914
37	-15702110
38	-15692316
39	-15682727
40	-15688936
41	-15698662
42	-15703412
43	-15711995
44	-15722318
45	-15737096
46	-15743626
47	-15749956
48	-15764975
49	-15791766
50	-15815317
51	-15842356
52	-15864999
53	-15882321
54	-15910819
55	-15947983
56	-15985754
57	-16018383
58	-16039193
59	-16067134
60	-16104134
61	-16140514
62	-16170645
63	-16208350
64	-16241681
65	-16289614
66	-16329667
67	-16359531
68	-16392701
69	-16427986
70	-16456056
71	-16481965
72	-16509020
73	-16528010
74	-16550504
75	-16567191
76	-16577166
77	-16583817
78	-16585872
79	-16587028
80	-16591453
81	-16596128
82	-16597786
83	-16601742
84	-16604292
85	-16609721
86	-16613611
87	-16618399
88	-16622350
89	-16626941
90	-16630265
91	-16634157
92	-16638951
93	-16641116
94	-16642072
95	-16642072
96	-16643088
97	-16642570
98	-16642578
99	-16641550
100	-16641552
101	-16641040
102	-16641554
103	-16641551
104	-16641554
105	-16641040
106	-16640012
107	-16638984
108	-16638478
109	-16640020
110	-16640663
111	-16639506
112	-16638350
113	-16638470
114	-16641225
115	-16640775
116	-16642835
117	-16641932
118	-16642574
119	-16642574
120	-16640647
121	-16641867
122	-16643401
123	-16644365
124	-16646670
125	-16645578
126	-16645449
127	-16644357
128	-16644678
129	-16645128
130	-16645072
131	-16643594
132	-16644556
133	-16642626
134	-16645132
135	-16645132
136	-16646160
137	-16645068
138	-16642570
139	-16643084
140	-16643085
141	-16643084
142	-16643599
143	-16643084
144	-16643590
145	-16642570
146	-16642566
147	-16643405
148	-16641928
149	-16640787
150	-16637089
151	-16635301
152	-16634153
153	-16632426
154	-16634290
155	-16634418
156	-16632828
157	-16632764
158	-16631486
159	-16630201
160	-16625788
161	-16624712
162	-16621146
163	-16619114
164	-16615540
165	-16612970
166	-16610412
167	-16602411
168	-16596088
169	-16596474
170	-16593530
171	-16590534
172	-16583753
173	-16579166
174	-16569899
175	-16553218
176	-16542794
177	-16533962
178	-16513762
179	-16472510
180	-16447753
181	-16405524
182	-16349430
183	-16284076
184	-16220362
185	-16162134
186	-16108872
187	-16050044
188	-15986285
189	-15907838
190	-15833775
191	-15743052
192	-15647176
193	-15530425
194	-15424318
195	-15288396
196	-15148011
197	-14981983
198	-14791086
199	-14580726
200	-14380945
201	-14166154
202	-13977851
203	-13797547
204	-13616959
205	-13477378
206	-13350894
207	-13278896
208	-13222569
209	-13172308
210	-13171940
211	-13204220
212	-13227522
213	-13246510
214	-13292354
215	-13350219
216	-13387744
217	-13422871
218	-13472261
219	-13519825
220	-13553537
221	-13611124
222	-13671364
223	-13755828
224	-13857855
225	-13969270
226	-14117045
227	-14245886
228	-14399415
229	-14540361
230	-14656789
231	-14773267
232	-14883101
233	-15008215
234	-15126922
235	-15246860
236	-15364279
237	-15485415
238	-15595694
239	-15692290
240	-15794396
241	-15889879
242	-15960268
243	-16034027
244	-16111210
245	-16176710
246	-16249214
247	-16297960
248	-16349563
249	-16392281
250	-16435127
251	-16465045
252	-16489118
253	-16509511
254	-16533107
255	-16544310
256	-16547304
257	-16554202
258	-16562756
259	-16562948
260	-16567439
261	-16574077
262	-16575107
263	-16580735
264	-16580091
265	-16588225
266	-16589301
267	-16591097
268	-16591918
269	-16595743
270	-16596571
271	-16596764
272	-16598627
273	-16600165
274	-16604971
275	-16609244
276	-16612943
277	-16617031
278	-16619067
279	-16621106
280	-16623669
281	-16628266
282	-16629362
283	-16630318
284	-16630824
285	-16632362
286	-16632362
287	-16632876
288	-16636322
289	-16639128
290	-16640277
291	-16640405
292	-16641177
293	-16639770
294	-16638358
295	-16638102
296	-16637451
297	-16639057
298	-16641612
299	-16643670
300	-16645527
301	-16646555
302	-16644951
303	-16643923
304	-16642261
305	-16643286
306	-16641052
307	-16642401
308	-16641823
309	-16641566
310	-16638503
311	-16634670
312	-16632249
313	-16627586
314	-16623765
315	-16622548
316	-16620950
317	-16618207
318	-16617308
319	-16616666
320	-16613991
321	-16608889
322	-16606853
323	-16602126
324	-16597785
325	-16593448
326	-16592550
327	-16593829
328	-16593965
329	-16593324
330	-16593318
331	-16592234
332	-16586024
333	-16587447
334	-16586872
335	-16588478
336	-16587952
337	-16585254
338	-16587353
339	-16589145
340	-16596316
341	-16597522
342	-16599832
343	-16599309
344	-16605313
345	-16606268
346	-16610416
347	-16612392
348	-16615202
349	-16617303
350	-16618773
351	-16618837
352	-16620435
353	-16624969
354	-16625861
355	-16629246
356	-16630338
357	-16632378
358	-16635948
359	-16639526
360	-16638494
361	-16641112
362	-16640012
363	-16640076
364	-16641538
365	-16641024
366	-16642052
367	-16642052
368	-16643968
369	-16644996
370	-16645695
371	-16647172
372	-16646144
373	-16646144
374	-16646144
375	-16646658
376	-16648714
377	-16648200
378	-16648072
379	-16647558
380	-16647622
381	-16647493
382	-16646787
383	-16646016
384	-16647750
385	-16646787
386	-16645759
387	-16646658
388	-16645245
389	-16644347
390	-16645246
391	-16645695
392	-16646723
393	-16646724
394	-16647559
395	-16647498
396	-16645830
397	-16645057
398	-16645375
399	-16644852
400	-16645618
401	-16647480
402	-16647538
403	-16638604
404	-16637255
405	-16647862
406	-16647995
407	-16647546
408	-16645498
409	-16644153
410	-16645444
411	-16645057
412	-16645825
413	-16645566
414	-16645116
415	-16646658
416	-16647493
417	-16648842
418	-16647494
419	-16645822
420	-16645373
421	-16645951
422	-16646401
423	-16647943
424	-16647236
425	-16647622
426	-16647622
427	-16647172
428	-16646144
429	-16645758
430	-16644795
431	-16646016
432	-16645823
433	-16648521
434	-16647558
435	-16645951
436	-16644088
437	-16644024
438	-16644602
439	-16646080
440	-16646530
441	-16646722
442	-16646530
443	-16644409
444	-16644538
445	-16642546
446	-16643124
447	-16643445
448	-16645309
449	-16646594
450	-16646723
451	-16649228
452	-16648714
453	-16648136
454	-16645373
455	-16645180
456	-16645373
457	-16645887
458	-16646530
459	-16645887
460	-16646530
461	-16645887
462	-16646787
463	-16645630
464	-16646144
465	-16643317
466	-16644859
467	-16647686
468	-16646273
469	-16644923
470	-16646080
471	-16646658
472	-16646401
473	-16647750
474	-16647879
475	-16648393
476	-16646208
477	-16645630
478	-16646208
479	-16646658
480	-16648264
481	-16648007
482	-16646594
483	-16645630
484	-16644088
485	-16644666
486	-16644152
487	-16646080
488	-16646401
489	-16646722
490	-16645951
491	-16645887
492	-16645630
493	-16646208
494	-16647301
495	-16646594
496	-16645630
497	-16645566
498	-16646787
499	-16648072
500	-16647303
501	-16645125
502	-16644678
503	-16643714
504	-16644483
505	-16645575
506	-16646920
507	-16646213
508	-16645245
509	-16643510
510	-16645626
511	-16645303
512	-16644532
513	-16645300
514	-16646138
515	-16644916
516	-16634952
517	-16634887
518	-16645242
519	-16644980
520	-16646778
521	-16645240
522	-16646071
523	-16645564
524	-16645177
525	-16646851
526	-16646531
527	-16647114
528	-16645895
529	-16646666
530	-16646477
531	-16646220
532	-16645126
533	-16645826
534	-16645116
535	-16645566
536	-16647237
537	-16647108
538	-16646216
539	-16645060
540	-16644096
541	-16643526
542	-16643590
543	-16643590
544	-16643590
545	-16643590
546	-16643076
547	-16643847
548	-16641410
549	-16642381
550	-16637009
551	-16635934
552	-16631473
553	-16626677
554	-16624441
555	-16621699
556	-16620305
557	-16621268
558	-16620113
559	-16621140
560	-16618583
561	-16611419
562	-16609897
563	-16606824
564	-16604719
565	-16598969
566	-16594737
567	-16584699
568	-16580100
569	-16563876
570	-16534843
571	-16510222
572	-16472359
573	-16432896
574	-16393999
575	-16356016
576	-16302244
577	-16253626
578	-16194039
579	-16135802
580	-16084171
581	-16037975
582	-15983127
583	-15919377
584	-15843321
585	-15747383
586	-15643633
587	-15515678
588	-15376485
589	-15228325
590	-15079807
591	-14958131
592	-14820261
593	-14688297
594	-14585038
595	-14493905
596	-14435014
597	-14387892
598	-14349762
599	-14343553
600	-14335290
601	-14347958
602	-14362061
603	-14375615
604	-14415669
605	-14451769
606	-14482302
607	-14534817
608	-14556835
609	-14582390
610	-14614240
611	-14645992
612	-14696360
613	-14769155
614	-14854093
615	-14926921
616	-15004559
617	-15087624
618	-15177938
619	-15268613
620	-15353462
621	-15441797
622	-15524998
623	-15601556
624	-15692854
625	-15779625
626	-15856571
627	-15933904
628	-16001810
629	-16064094
630	-16131366
631	-16182709
632	-16229835
633	-16275774
634	-16328687
635	-16374746
636	-16413483
637	-16453807
638	-16483765
639	-16518715
640	-16539360
641	-16552584
642	-16561777
643	-16577961
644	-16584998
645	-16588267
646	-16597297
647	-16599595
648	-16602353
649	-16602093
650	-16607473
651	-16610476
652	-16609894
653	-16612962
654	-16613472
655	-16613537
656	-16615002
657	-16620692
658	-16624648
659	-16628792
660	-16629109
661	-16631981
662	-16636964
663	-16636567
664	-16638293
665	-16641494
666	-16644249
667	-16645019
668	-16642819
669	-16643076
670	-16640635
671	-16641341
672	-16642502
673	-16642698
674	-16643663
675	-16643662
676	-16642570
677	-16642698
678	-16643213
679	-16643212
680	-16644305
681	-16643726
682	-16644233
683	-16643654
684	-16642498
685	-16643719
686	-16644618
687	-16647317
688	-16647630
689	-16646602
690	-16643839
691	-16643646
692	-16644674
693	-16646216
694	-16646281
695	-16645060
696	-16644931
697	-16644611
698	-16643911
699	-16644682
700	-16643590
701	-16641598
702	-16641534
703	-16643461
704	-16644486
705	-16644417
706	-16644674
707	-16645895
708	-16646987
709	-16647694
710	-16647694
711	-16646923
712	-16646987
713	-16645765
714	-16646657
715	-16646144
716	-16645639
717	-16644611
718	-16645061
719	-16644612
720	-16644041
721	-16644299
722	-16642894
723	-16643151
724	-16641545
725	-16640329
726	-16642774
727	-16642073
728	-16642586
729	-16639061
730	-16637719
731	-16637783
732	-16639254
733	-16640090
734	-16639704
735	-16639769
736	-16638223
737	-16636046
738	-16637411
739	-16634608
740	-16629045
741	-16624545
742	-16621472
743	-16618926
744	-16618103
745	-16616683
746	-16616619
747	-16612787
748	-16606086
749	-16596113
750	-16586403
751	-16571000
752	-16554180
753	-16537361
754	-16508257
755	-16478737
756	-16454309
757	-16432483
758	-16402751
759	-16365503
760	-16333181
761	-16289694
