orig	mov	dist	dx	dy	MI	MSD
1	1	0.000	0.000	0.000	5.577	0.000
1	2	-1.000	-4.734	-0.307	2.570	7.843
1	3	-2.000	-9.889	-0.317	2.415	12.073
1	4	-4.000	-19.940	-0.380	2.144	20.914
1	5	-6.000	-30.042	-0.159	1.959	30.396
1	6	-9.000	-45.278	-0.857	1.848	44.158
1	7	-12.000	-60.301	-1.139	1.643	60.173
1	8	-16.000	-47.163	-0.262	1.257	65.998
1	9	-21.000	-63.145	-0.131	1.138	91.542
1	10	-30.000	-79.186	1.149	1.006	121.991
2	1	1.000	4.739	0.306	2.623	6.146
2	2	0.000	0.000	0.000	5.563	0.000
2	3	-1.000	-4.885	-0.020	2.611	7.118
2	4	-3.000	-14.980	-0.102	2.313	16.046
2	5	-5.000	-24.981	0.121	2.104	24.958
2	6	-8.000	-40.226	-0.598	1.910	38.304
2	7	-11.000	-56.268	-0.908	1.709	54.047
2	8	-15.000	-43.190	-0.167	1.253	60.622
2	9	-20.000	-100.036	-2.243	1.400	100.356
2	10	-29.000	-98.107	1.957	1.046	118.651
3	1	2.000	9.889	0.316	2.465	9.574
3	2	1.000	4.884	0.023	2.547	6.693
3	3	0.000	0.000	0.000	5.639	0.000
3	4	-2.000	-9.890	-0.091	2.391	12.357
3	5	-4.000	-19.883	0.142	2.201	21.522
3	6	-7.000	-35.906	-0.582	1.956	35.185
3	7	-10.000	-50.275	-0.867	1.804	49.930
3	8	-14.000	-71.377	-1.602	1.605	68.241
3	9	-19.000	-94.015	-2.233	1.455	96.008
3	10	-28.000	-83.142	2.013	1.048	116.042
4	1	4.000	19.941	0.375	2.221	14.571
4	2	3.000	14.980	0.105	2.279	12.209
4	3	2.000	9.890	0.093	2.394	9.207
4	4	0.000	0.000	0.000	5.733	0.000
4	5	-2.000	-9.749	0.237	2.503	12.193
4	6	-5.000	-24.968	-0.418	2.145	24.986
4	7	-8.000	-40.215	-0.777	1.920	39.473
4	8	-12.000	-61.356	-1.231	1.704	57.219
4	9	-17.000	-86.045	-2.246	1.528	86.297
4	10	-26.000	-78.140	2.006	1.106	107.533
5	1	6.000	30.041	0.155	2.049	19.059
5	2	5.000	24.982	-0.117	2.100	16.616
5	3	4.000	19.887	-0.137	2.165	13.970
5	4	2.000	9.757	-0.231	2.524	8.734
5	5	0.000	0.000	0.000	5.754	0.000
5	6	-3.000	-15.016	-0.656	2.400	15.956
5	7	-6.000	-30.149	-0.968	2.087	28.985
5	8	-10.000	-52.237	-1.646	1.792	46.846
5	9	-15.000	-79.314	-3.095	1.520	77.099
5	10	-24.000	-74.160	1.932	1.172	97.606
6	1	9.000	44.202	0.847	1.762	24.574
6	2	8.000	40.218	0.613	1.838	23.136
6	3	7.000	35.913	0.598	1.889	20.861
6	4	5.000	24.969	0.406	2.076	16.216
6	5	3.000	15.016	0.664	2.341	11.798
6	6	0.000	0.000	0.000	5.479	0.000
6	7	-3.000	-15.123	-0.308	2.364	15.904
6	8	-7.000	-36.183	-0.863	1.952	32.244
6	9	-12.000	-63.285	-2.194	1.604	60.639
6	10	-21.000	-99.955	0.986	1.459	94.481
7	1	12.000	60.311	1.132	1.599	31.326
7	2	11.000	56.289	0.910	1.688	29.096
7	3	10.000	50.282	0.871	1.755	26.884
7	4	8.000	40.212	0.783	1.877	22.938
7	5	6.000	30.149	0.969	2.013	18.621
7	6	3.000	15.126	0.311	2.377	11.546
7	7	0.000	0.000	0.000	5.605	0.000
7	8	-4.000	-20.939	-0.557	2.200	19.119
7	9	-9.000	-48.271	-2.075	1.712	46.018
7	10	-18.000	-85.898	1.751	1.552	78.711
8	1	16.000	81.340	1.825	1.526	39.729
8	2	15.000	77.398	1.651	1.490	38.007
8	3	14.000	72.367	1.629	1.581	35.943
8	4	12.000	61.357	1.218	1.707	32.054
8	5	10.000	52.247	1.655	1.790	28.518
8	6	7.000	36.192	0.866	2.002	21.807
8	7	4.000	20.938	0.567	2.286	15.035
8	8	0.000	0.000	0.000	5.831	0.000
8	9	-5.000	-27.944	-1.774	2.058	29.185
8	10	-14.000	-69.220	1.827	1.685	65.041
9	1	21.000	101.123	2.253	1.444	48.371
9	2	20.000	100.060	2.230	1.396	48.544
9	3	19.000	96.091	2.983	1.434	46.900
9	4	17.000	86.058	2.232	1.461	43.160
9	5	15.000	79.333	3.089	1.501	40.704
9	6	12.000	64.278	2.206	1.616	34.638
9	7	9.000	48.275	2.073	1.795	28.678
9	8	5.000	27.945	1.772	2.114	19.019
9	9	0.000	0.000	0.000	5.930	0.000
9	10	-9.000	-44.093	3.271	2.037	38.327
10	1	30.000	95.196	-5.843	1.078	56.143
10	2	29.000	97.171	-4.850	1.117	55.314
10	3	28.000	96.119	-4.827	1.133	54.217
10	4	26.000	82.121	-3.881	1.166	49.883
10	5	24.000	99.205	-1.771	1.333	49.537
10	6	21.000	99.059	-1.711	1.513	47.265
10	7	18.000	85.922	-1.108	1.575	42.265
10	8	14.000	71.384	-1.794	1.648	36.131
10	9	9.000	42.279	-3.278	2.100	24.761
10	10	0.000	0.000	0.000	5.967	0.000
