nLevels shrinkingFactor smoothingFactor samplingPercentage optTime optimalCost regError 
2 1 0 0.4 71.9132 -0.513369 18.5003 
2 1.5 0 0.4 87.1199 -0.530223 11.5687 
2 2 0 0.4 13.2853 -0.513098 21.2549 
2 2.5 0 0.4 8.79438 -0.512914 22.9736 
2 1 1 0.4 111.858 -0.548769 21.2598 
2 1.5 1 0.4 112.056 -0.589363 9.5556 
2 2 1 0.4 11.259 -0.554111 20.9052 
2 2.5 1 0.4 10.0585 -0.551701 19.4571 
2 1 2 0.4 162.635 -0.751629 1.18986 
2 1.5 2 0.4 116.514 -0.697122 3.91612 
2 2 2 0.4 16.795 -0.76907 1.19439 
2 2.5 2 0.4 28.9517 -0.767247 1.16237 
2 1 4 0.4 297.544 -0.69505 44.8852 
2 1.5 4 0.4 193.826 -0.829838 2.2199 
2 2 4 0.4 17.3445 -0.835572 1.82791 
2 2.5 4 0.4 14.9333 -0.715133 41.4617 
3 1 0 0.4 140.741 -0.508974 21.9367 
3 1.5 0 0.4 116.871 -0.512445 17.7354 
3 2 0 0.4 27.3684 -0.53472 13.3666 
3 2.5 0 0.4 16.0893 -0.52552 13.0302 
3 1 1 0.4 265.36 -0.557565 18.3413 
3 1.5 1 0.4 154.761 -0.599622 8.22036 
3 2 1 0.4 17.204 -0.561418 22.0981 
3 2.5 1 0.4 27.5827 -0.570935 23.2496 
3 1 2 0.4 197.297 -0.756669 1.2964 
3 1.5 2 0.4 215.372 -0.75164 1.62044 
3 2 2 0.4 33.7825 -0.770451 1.31188 
3 2.5 2 0.4 24.6829 -0.766874 1.41699 
3 1 4 0.4 235.249 -0.829769 2.18847 
3 1.5 4 0.4 208.133 -0.831029 1.99213 
3 2 4 0.4 25.599 -0.824515 3.35216 
3 2.5 4 0.4 20.9379 -0.834447 2.13515 
4 1 0 0.4 191.758 -0.506861 28.9416 
4 1.5 0 0.4 165.373 -0.53265 11.2494 
4 2 0 0.4 28.5424 -0.524212 26.4806 
4 2.5 0 0.4 14.6083 -0.546068 17.5748 
4 1 1 0.4 160.307 -0.556535 15.5643 
4 1.5 1 0.4 161.202 -0.54925 16.7621 
4 2 1 0.4 31.9335 -0.559848 22.1697 
4 2.5 1 0.4 22.1028 -0.558985 20.1265 
4 1 2 0.4 269.857 -0.750944 1.06252 
4 1.5 2 0.4 227.906 -0.752431 1.2648 
4 2 2 0.4 43.4957 -0.769745 1.17502 
4 2.5 2 0.4 32.7737 -0.764239 1.5189 
4 1 4 0.4 266.046 -0.720172 34.1192 
4 1.5 4 0.4 219.195 -0.828141 2.22888 
4 2 4 0.4 24.0894 -0.822436 2.20161 
4 2.5 4 0.4 42.38 -0.83679 2.30188 
