nLevels shrinkingFactor smoothingFactor samplingPercentage optTime optimalCost regError 
2 2.5 2 0.0001 0.597505 -1.26297 32.3408 
2 2.5 2 0.0001 0.550164 -0.74685 49.6013 
2 2.5 2 0.0001 0.511705 -0.665008 40.5282 
2 2.5 2 0.005 0.81221 -0.735848 10.8326 
2 2.5 2 0.005 1.00718 -0.794395 1.44194 
2 2.5 2 0.005 0.721251 -0.726967 10.3559 
2 2.5 2 0.01 0.983536 -0.740516 4.78147 
2 2.5 2 0.01 0.951349 -0.68872 21.5135 
2 2.5 2 0.01 0.872314 -0.714227 8.72538 
2 2.5 2 0.1 4.64802 -0.75832 1.25048 
2 2.5 2 0.1 5.83855 -0.759259 1.00923 
2 2.5 2 0.1 4.17277 -0.765582 1.34487 
2 2.5 2 0.2 7.82072 -0.768524 2.05662 
2 2.5 2 0.2 5.41113 -0.579996 62.2417 
2 2.5 2 0.2 8.82557 -0.756864 1.06284 
2 2.5 2 0.3 9.74057 -0.762902 1.27989 
2 2.5 2 0.3 14.4883 -0.757781 1.1023 
2 2.5 2 0.3 15.2456 -0.756314 1.1894 
2 2.5 2 0.4 16.2053 -0.754613 1.07628 
2 2.5 2 0.4 27.6267 -0.767674 1.88943 
2 2.5 2 0.4 21.5449 -0.762249 1.21889 
2 2.5 2 0.5 25.2109 -0.768849 1.26634 
2 2.5 2 0.5 15.5433 -0.770628 1.17114 
2 2.5 2 0.5 19.7678 -0.761963 1.17293 
2 2.5 2 0.6 26.7552 -0.640026 14.2227 
2 2.5 2 0.6 28.2123 -0.771538 1.09879 
2 2.5 2 0.6 31.4117 -0.77098 1.14898 
2 2.5 2 0.7 33.4848 -0.765449 1.14721 
2 2.5 2 0.7 47.7888 -0.759618 1.21356 
2 2.5 2 0.7 34.9455 -0.755621 1.23032 
